1_0,2_0,2_1,3_0,3_1,E
7.3396392e-13,3.2397463e-12,9.8837967e-12,1.0994397e-12,2.1377711e-12,675.36299
7.1328354e-13,2.9621974e-12,8.7166098e-12,9.7092359e-13,1.831545e-12,706.18363
6.9245969e-13,2.7041461e-12,7.6715809e-12,8.5610056e-13,1.5651078e-12,738.4108
6.7151688e-13,2.4645318e-12,6.7384694e-12,7.5410993e-13,1.3352131e-12,772.10867
6.5048979e-13,2.2425137e-12,5.9071893e-12,6.6416168e-13,1.1389791e-12,807.34438
6.293928e-13,2.0372102e-12,5.1684075e-12,5.8486259e-13,9.7166433e-13,844.18808
6.0823096e-13,1.8477137e-12,4.5135587e-12,5.1431353e-13,8.2700104e-13,882.71317
5.8703401e-13,1.6732021e-12,3.9343271e-12,4.5165519e-13,7.0213848e-13,922.99639
5.6586084e-13,1.5127669e-12,3.4230683e-12,3.9642451e-13,5.9563016e-13,965.11795
5.4472809e-13,1.3655787e-12,2.9729721e-12,3.4779841e-13,5.0506844e-13,1009.1618
5.236472e-13,1.2306396e-12,2.5775729e-12,3.0470665e-13,4.2739401e-13,1055.2155
5.0266593e-13,1.1074708e-12,2.2309411e-12,2.6668049e-13,3.6119427e-13,1103.371
4.8183844e-13,9.950663e-13,1.9276321e-12,2.3332511e-13,3.0528872e-13,1153.7241
4.6118525e-13,8.9272924e-13,1.6628491e-12,2.0399242e-13,2.5785741e-13,1206.3751
4.4074673e-13,7.9969733e-13,1.4321766e-12,1.7810278e-13,2.1731073e-13,1261.4288
4.2055385e-13,7.1523525e-13,1.2315076e-12,1.5540926e-13,1.8300848e-13,1318.995
4.0065178e-13,6.3883632e-13,1.0573087e-12,1.355472e-13,1.5407586e-13,1379.1882
3.8107959e-13,5.6975569e-13,9.0638424e-13,1.1807336e-13,1.2947699e-13,1442.1284
3.6185585e-13,5.0739663e-13,7.7566384e-13,1.0278159e-13,1.0872216e-13,1507.9409
3.4306451e-13,4.5126837e-13,6.6289698e-13,8.9442678e-14,9.129477e-14,1576.7568
3.2467858e-13,4.0073498e-13,5.6542889e-13,7.7756793e-14,7.6545474e-14,1648.7131
3.0674093e-13,3.5541976e-13,4.8169372e-13,6.7561372e-14,6.4134458e-14,1723.9533
2.8929675e-13,3.1486001e-13,4.0995659e-13,5.8684093e-14,5.3727867e-14,1802.627
2.7235902e-13,2.78478e-13,3.4816349e-13,5.0917973e-14,4.4936234e-14,1884.8911
2.5596494e-13,2.4598178e-13,2.9526581e-13,4.4155363e-14,3.7561082e-14,1970.9094
2.4010596e-13,2.1700182e-13,2.5005877e-13,3.8269164e-14,3.1381005e-14,2060.8532
2.24811e-13,1.9116462e-13,2.1138162e-13,3.3137502e-14,2.6186452e-14,2154.9016
2.1009285e-13,1.682172e-13,1.7850107e-13,2.8685937e-14,2.184949e-14,2253.242
1.9596304e-13,1.4780799e-13,1.5046845e-13,2.4816023e-14,1.8209341e-14,2356.0703
1.824445e-13,1.2970362e-13,1.2665228e-13,2.1459376e-14,1.5163614e-14,2463.5911
1.6951594e-13,1.1367458e-13,1.0646363e-13,1.8548661e-14,1.2622394e-14,2576.0188
1.5719078e-13,9.9489133e-14,8.9337102e-14,1.6019328e-14,1.0498246e-14,2693.5771
1.454708e-13,8.6974879e-14,7.4884558e-14,1.3827799e-14,8.7281434e-15,2816.5003
1.3435662e-13,7.5924967e-14,6.2663096e-14,1.1924388e-14,7.2430711e-15,2945.0332
1.2384622e-13,6.6201835e-14,5.2379887e-14,1.0278667e-14,6.0051822e-15,3079.4318
1.1391961e-13,5.7644447e-14,4.3711297e-14,8.8560642e-15,4.9747126e-15,3219.9637
1.0457476e-13,5.0135282e-14,3.6435117e-14,7.6277781e-15,4.1193511e-15,3366.909
9.5800102e-14,4.3547248e-14,3.0328381e-14,6.5621088e-15,3.4046607e-15,3520.5601
8.7581341e-14,3.7782069e-14,2.5219196e-14,5.6391093e-15,2.8094605e-15,3681.2233
7.9903469e-14,3.2739356e-14,2.0939121e-14,4.8417449e-15,2.3163138e-15,3849.2184
7.2753432e-14,2.8339536e-14,1.7364495e-14,4.1555096e-15,1.9090883e-15,4024.88
6.6103465e-14,2.4501946e-14,1.4380292e-14,3.5647997e-15,1.5709271e-15,4208.5582
5.9937672e-14,2.1162541e-14,1.1899327e-14,3.0553845e-15,1.2913197e-15,4400.6186
5.423526e-14,1.825664e-14,9.8365698e-15,2.6137876e-15,1.060856e-15,4601.4438
4.8974766e-14,1.573364e-14,8.1232959e-15,2.2346964e-15,8.7091982e-16,4811.4338
4.413675e-14,1.3544574e-14,6.6978474e-15,1.9111793e-15,7.1372745e-16,5031.0068
3.9694569e-14,1.1648212e-14,5.5168304e-15,1.6319308e-15,5.8416517e-16,5260.6002
3.5627118e-14,1.0007827e-14,4.5406812e-15,1.3914923e-15,4.779043e-16,5500.6712
3.1912191e-14,8.5897684e-15,3.7326936e-15,1.1878912e-15,3.9092513e-16,5751.6981
2.8527578e-14,7.3662635e-15,3.0662232e-15,1.0131087e-15,3.1928433e-16,6014.1807
2.545136e-14,6.3115559e-15,2.5169931e-15,8.6154929e-16,2.602255e-16,6288.6419
2.2662575e-14,5.4027051e-15,2.0629264e-15,7.3279534e-16,2.1247665e-16,6575.6283
2.014027e-14,4.6205324e-15,1.6887967e-15,6.2336212e-16,1.7344939e-16,6875.7115
1.786404e-14,3.9479394e-15,1.3813698e-15,5.2972724e-16,1.4119029e-16,7189.4893
1.5814693e-14,3.3700394e-15,1.1284551e-15,4.4986699e-16,1.1501811e-16,7517.5865
1.3974027e-14,2.8743657e-15,9.2184929e-16,3.8171828e-16,9.3523117e-17,7860.6566
1.2324503e-14,2.4496148e-15,7.5255391e-16,3.2364843e-16,7.5805082e-17,8219.383
1.0849577e-14,2.0856998e-15,6.1269458e-16,2.7432318e-16,6.1539989e-17,8594.4801
9.5338947e-15,1.7741836e-15,4.9835049e-16,2.3239248e-16,5.0245719e-17,8986.695
8.3626706e-15,1.5081022e-15,4.0505626e-16,1.9675438e-16,4.0645746e-17,9396.8089
7.3223572e-15,1.2808509e-15,3.2934189e-16,1.6638663e-16,3.2855214e-17,9825.6386
6.4001293e-15,1.0868613e-15,2.676962e-16,1.4062876e-16,2.6682758e-17,10274.038
5.5842285e-15,9.2144327e-16,2.1695145e-16,1.1888441e-16,2.1478769e-17,10742.901
4.8643153e-15,7.8036578e-16,1.7559682e-16,1.003381e-16,1.7394364e-17,11233.16
4.2300951e-15,6.6073071e-16,1.4212477e-16,8.4678709e-17,1.3990583e-17,11745.793
3.6725026e-15,5.5892009e-16,1.1499693e-16,7.1439434e-17,1.1289625e-17,12281.82
3.1832951e-15,4.7213581e-16,9.2755052e-17,6.0162328e-17,9.1085018e-18,12842.31
2.7548367e-15,3.9882203e-16,7.5091682e-17,5.0620278e-17,7.3379589e-18,13428.377
2.3801643e-15,3.3643795e-16,6.068065e-17,4.2592363e-17,5.9079546e-18,14041.19
2.0533547e-15,2.8373182e-16,4.8851205e-17,3.5841381e-17,4.7483102e-18,14681.969
1.7688044e-15,2.3900811e-16,3.9332545e-17,3.0086658e-17,3.8146368e-18,15351.991
1.5214141e-15,2.0131078e-16,3.1593349e-17,2.5223942e-17,3.0643253e-18,16052.589
1.3067271e-15,1.6932429e-16,2.537421e-17,2.1230682e-17,2.4699794e-18,16785.16
1.1207232e-15,1.4238049e-16,2.0476848e-17,1.7794045e-17,1.9887244e-18,17551.162
9.5983843e-16,1.1961736e-16,1.6419736e-17,1.4905708e-17,1.5848494e-18,18352.121
8.2087023e-16,1.0044183e-16,1.31926e-17,1.2464616e-17,1.2687538e-18,19189.633
7.0112711e-16,8.4225529e-17,1.0578675e-17,1.046132e-17,1.015838e-18,20065.365
5.9806246e-16,7.0567271e-17,8.4577068e-18,8.7565473e-18,8.1372112e-19,20981.061
5.0948992e-16,5.9166409e-17,6.7732339e-18,7.3251067e-18,6.4933745e-19,21938.546
4.3348352e-16,4.9445723e-17,5.4410775e-18,6.1079518e-18,5.2171529e-19,22939.727
3.6834461e-16,4.1410681e-17,4.3440296e-18,5.1070298e-18,4.1710591e-19,23986.596
3.1260183e-16,3.4601578e-17,3.4747313e-18,4.2609658e-18,3.3219379e-19,25081.241
2.6498122e-16,2.8919943e-17,2.7678212e-18,3.5527141e-18,2.6434423e-19,26225.84
2.2436028e-16,2.4118546e-17,2.2163697e-18,2.9592642e-18,2.1082113e-19,27422.674
1.8973465e-16,2.0137622e-17,1.7652314e-18,2.466888e-18,1.6780932e-19,28674.126
1.6028365e-16,1.6794237e-17,1.410102e-18,2.0542979e-18,1.3486544e-19,29982.69
1.3524226e-16,1.398481e-17,1.1300859e-18,1.7068521e-18,1.074903e-19,31350.97
1.1399091e-16,1.1644295e-17,8.9898938e-19,1.419843e-18,8.5321917e-20,32781.693
9.5970925e-17,9.6851869e-18,7.1948609e-19,1.1811629e-18,6.7579016e-20,34277.707
8.0703703e-17,8.0633011e-18,5.6737367e-19,9.8113537e-19,5.3990269e-20,35841.994
6.780789e-17,6.692566e-18,4.5198666e-19,8.1327073e-19,4.2741797e-20,37477.667
5.6905104e-17,5.5701113e-18,3.6334289e-19,6.7493181e-19,3.427817e-20,39187.986
4.7707516e-17,4.6130827e-18,2.8937848e-19,5.5923093e-19,2.7452567e-20,40976.356
3.9958317e-17,3.8286687e-18,2.2947093e-19,4.6470303e-19,2.1477056e-20,42846.34
3.3428736e-17,3.1760095e-18,1.8222377e-19,3.8481777e-19,1.7365258e-20,44801.661
2.7939605e-17,2.6295768e-18,1.4469307e-19,3.1754602e-19,1.3475557e-20,46846.215
2.3324645e-17,2.1808495e-18,1.150821e-19,2.6342253e-19,1.0927479e-20,48984.074
1.9454616e-17,1.8011648e-18,9.0911346e-20,2.1724831e-19,8.435633e-21,51219.495
1.6213663e-17,1.490011e-18,7.2933184e-20,1.8062434e-19,6.9659767e-21,53556.932
1.3497649e-17,1.2293775e-18,5.7535921e-20,1.4766937e-19,5.3553539e-21,56001.038
1.1225619e-17,1.0161306e-18,4.5614986e-20,1.2307403e-19,4.327784e-21,58556.683
9.3266438e-18,8.3809226e-19,3.619413e-20,1.0028804e-19,3.3398881e-21,61228.957
7.7402609e-18,6.9385401e-19,2.8938573e-20,8.4138041e-20,2.7285955e-21,64023.182
6.4167584e-18,5.7054729e-19,2.2556566e-20,6.8187656e-20,2.1033752e-21,66944.923
5.3173024e-18,4.7044102e-19,1.8469212e-20,5.6991679e-20,1.7140935e-21,70000.0
